image,class,iou,dice,precision,recall
desktop_0063_bright.jpg,bowl,0.4869146559068915,0.6549328893525701,0.7032621314139772,0.6128190343236928
desktop_0064_bright.jpg,cup,0.8399890590809628,0.9130370150141222,0.9608886107634543,0.869725290286038
desktop_0064_bright.jpg,bottle,0.6711020129648584,0.8031849734585546,0.6785098309761987,0.983991995997999
desktop_0065_bright.jpg,bottle,0.5110578992681877,0.6764239802004879,0.5268340036056025,0.9446488959618062
desktop_0066_bright.jpg,book,0.8379571248423707,0.911835334476844,0.9034670292318151,0.9203601108033241
desktop_0066_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0067_bright.jpg,cup,0.5131493153662248,0.6782533754668199,0.8323344849467672,0.572308139816745
desktop_0067_bright.jpg,bowl,0.23871616525601275,0.3854251231260486,0.8676687836006153,0.24773558405190219
desktop_0068_bright.jpg,book,0.5639751552795031,0.7212073073868149,0.6881394467601364,0.7576136837713809
desktop_0069_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0070_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0071_bright.jpg,cup,0.0,0.0,,0.0
desktop_0072_bright.jpg,book,0.0,0.0,,0.0
desktop_0073_bright.jpg,cup,0.8081098864944892,0.8938725378701724,0.8228643216080402,0.9782933386438315
desktop_0073_bright.jpg,bottle,0.0,0.0,0.0,
desktop_0074_bright.jpg,bottle,0.0,0.0,,0.0
desktop_0074_bright.jpg,bowl,0.9101580660158066,0.9529662306054153,0.9984699732245315,0.9114292364990689
desktop_0075_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0076_bright.jpg,cup,0.0,0.0,0.0,
desktop_0076_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0077_bright.jpg,cup,0.827491081617799,0.9056034143655102,0.9649394876093677,0.8531419942375927
desktop_0078_bright.jpg,bowl,0.9743265710354965,0.9869963615233937,0.9879269528392336,0.9860675217241441
desktop_0079_bright.jpg,cup,0.0,0.0,0.0,
desktop_0079_bright.jpg,bowl,0.0,0.0,,0.0
desktop_0080_bright.jpg,cup,0.9441258397509421,0.97126000842815,0.9960487973526942,0.9476751016188529
desktop_0080_bright.jpg,bowl,0.0,0.0,0.0,
desktop_0081_bright.jpg,bottle,0.7131435881036137,0.8325555348142617,0.9975397002907627,0.7144001281435207
desktop_0081_bright.jpg,bowl,0.8742655699177438,0.9329153605015674,0.9587628865979382,0.9084249084249084
desktop_0081_bright.jpg,book,0.013340683572216096,0.02633010553802633,0.08088235294117647,0.015724496426250813
desktop_0082_dark.jpg,bowl,0.4082192945979662,0.5797666544748048,0.7903119568200531,0.4578040624685352
desktop_0083_dark.jpg,book,0.0,0.0,,0.0
desktop_0084_dark.jpg,cup,0.0,0.0,,0.0
desktop_0085_dark.jpg,cup,0.371305099394987,0.5415353586285138,0.971945701357466,0.37532762537130876
desktop_0085_dark.jpg,bowl,0.0,0.0,0.0,
desktop_0086_dark.jpg,cup,0.7842771560981123,0.8790979063064205,1.0,0.7842771560981123
desktop_0086_dark.jpg,book,0.6200410766403632,0.7654634016147328,0.9994772608468374,0.620242214532872
desktop_0087_dark.jpg,bowl,0.8976063829787234,0.9460406447091801,0.9629101283880172,0.9297520661157025
desktop_0088_dark.jpg,cup,0.0,0.0,0.0,
desktop_0088_dark.jpg,bottle,0.35637974278243234,0.525486678312324,0.36509654704891864,0.9372123049287078
desktop_0089_dark.jpg,cup,0.0,0.0,0.0,0.0
desktop_0089_dark.jpg,bottle,0.21471861471861473,0.353528153955809,0.7178002894356006,0.23451536643026005
desktop_0089_dark.jpg,bowl,0.0,0.0,,0.0
desktop_0090_dark.jpg,bowl,0.4713761122357704,0.640728238437295,0.6775274056029232,0.6077205547631331
desktop_0091_dark.jpg,cup,0.8410087719298246,0.9136390708755211,0.963265306122449,0.8688756726139903
desktop_0091_dark.jpg,bottle,0.6820548420687261,0.8109781262897234,0.690200210748156,0.9829914957478739
desktop_0092_dark.jpg,bottle,0.5110125050423557,0.6763842169896951,0.5266775686687547,0.9449970161129898
desktop_0093_dark.jpg,book,0.8347003154574133,0.9099037138927097,0.9036885245901639,0.9162049861495845
desktop_0093_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0094_dark.jpg,cup,0.5246258382555402,0.6882027381299155,0.8620739983945122,0.5726959809957822
desktop_0094_dark.jpg,bowl,0.24233367056087518,0.3901265437834733,0.8750113681147118,0.25102295506824773
desktop_0095_dark.jpg,book,0.5621468926553672,0.7197106690777577,0.6941860465116279,0.7471839799749687
desktop_0096_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0097_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0098_dark.jpg,cup,0.0,0.0,,0.0
desktop_0099_dark.jpg,book,0.0,0.0,,0.0
desktop_0100_dark.jpg,cup,0.8035905459935766,0.8911008629742934,0.8229043683589138,0.9716220252912476
desktop_0100_dark.jpg,bottle,0.0,0.0,0.0,
